Feature,Importance
"categorical__Address_Dwarka Sector 11, New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",0.00023021759817725993
"categorical__Address_Flat No 8B Tower GH1 Sec 54 Gurugram, Sector 54, Gurgaon, Delhi NCR",0.0002301156031000827
"categorical__Address_C-1, Vasant Kunj, Vasant Kunj, New Delhi - South, Delhi NCR",0.00022769590796914072
"categorical__Address_kalkaji, Kalkaji, New Delhi - South, Delhi NCR",0.00022766685674530977
"categorical__Address_Uttam Nagar, New Delhi - West, Delhi NCR",0.0002243736740464676
"categorical__Address_Sector 27, Delta 1 Metro, Delta 1 Block A, Greater Noida, Delhi NCR",0.00022329476458179267
"categorical__Address_2B, Plot No. 01, Wave City Center, Amore Tower, Block CC-1, Sector-32, Noida, Uttar Pradesh , Sector 32, Noida, Delhi NCR",0.00022309982802779115
"categorical__Address_prateek edifice SECTOR 107, Sector 107, Noida, Delhi NCR",0.00022246298358305044
"categorical__Address_Uniworld City Sector 30 Gurgaon, Uniworld City, Gurgaon, Delhi NCR",0.00022179950037753136
"categorical__Address_Sector 85, Gurgaon, Sector 85, Gurgaon, Delhi NCR",0.00022053333561035537
"categorical__Address_Punjabi Bagh, New Delhi - West, Delhi NCR",0.00021914162289699148
"categorical__Address_A-56 Narang Colony, Chander Nagar, New Delhi - West, Delhi NCR",0.00021897964595538218
"categorical__Address_Sector 45, Noida, Delhi NCR",0.00021738414431433472
"categorical__Address_Sector 79, Noida, Delhi NCR",0.0002169666820860842
"categorical__Address_sector 65, Golf course Extension Road, Gurgaon, Delhi NCR",0.0002159178034984232
"categorical__Address_Sector 109, Gurgaon, Sector 109 Block T, Gurgaon, Delhi NCR",0.00021575425920182962
"categorical__Address_Suraj Khand, Sector 43, Faridabad, Delhi NCR",0.00021553862830749987
"categorical__Address_Wazirabad, Gurgaon - North, Delhi NCR",0.0002153714444721156
"categorical__Address_Paschim Vihar Block A3, New Delhi - West, Delhi NCR",0.00021528110776701808
"categorical__Address_232., Sushant Lok 1 Block C, Gurgaon, Delhi NCR",0.0002152407742259716
"categorical__Address_Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",0.00021342390694473827
"categorical__Address_East Of Kailash, New Delhi - South, Delhi NCR",0.0002105291797644499
"categorical__Address_Dwarka Mor, New Delhi - West, Delhi NCR",0.00020657247620050316
"categorical__Address_Sushant Lok 2, Gurgaon, Delhi NCR",0.00020560509675215808
"categorical__Address_Golf Course Road, Gurgaon, South City 1, Gurgaon, Delhi NCR",0.00020265187399528403
"categorical__Address_Sector 93, Gurgaon, Sector 93, Gurgaon, Delhi NCR",0.0002025853134661066
